#{"t_start": 1555726407.592253, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
36.8422,250,7185.7698,1.0
37.331,250,7197.2487,0.0
35.9885,250,7208.7188,0.0
36.3793,250,7220.3216,1.0
36.8325,250,7231.9095,1.0
36.0357,250,7243.5276,1.0
35.1977,250,7255.1278,0.0
37.5297,250,7266.8409,1.0
38.4591,250,7278.4174,2.0
36.7813,250,7287.5194,0.0
39.0351,250,7299.1086,1.0
34.5764,250,7310.5842,0.0
34.4323,250,7321.975,0.0
37.601,250,7333.3708,1.0
38.5029,250,7345.0145,1.0
35.309,250,7357.9237,0.0
37.61,250,7369.1035,1.0
35.145,250,7380.7657,0.0
35.4449,250,7392.2389,0.0
36.9295,250,7403.6939,1.0
36.5966,250,7415.2931,0.0
34.1479,250,7426.8714,0.0
39.6065,250,7438.3342,1.0
39.5918,250,7449.9675,2.0
34.4168,250,7461.4432,0.0
36.9651,250,7472.8799,1.0
36.7149,250,7484.3828,1.0
38.6898,250,7495.8556,2.0
41.2181,250,7507.557,1.0
35.8606,250,7519.1147,0.0
33.4376,250,7528.2499,0.0
38.8835,250,7539.9172,2.0
37.2218,250,7551.4823,1.0
36.5007,250,7562.9505,0.0
37.5677,250,7574.5751,2.0
35.2191,250,7586.0638,0.0
35.6061,250,7597.7022,0.0
35.8256,250,7609.2621,0.0
34.5287,250,7620.924,0.0
36.4211,250,7632.5792,1.0
37.8263,250,7643.971,0.0
36.3387,250,7655.5075,0.0
39.3052,250,7667.5011,2.0
37.5775,250,7679.8001,0.0
38.1682,250,7691.3647,0.0
37.5756,250,7702.96,0.0
36.0615,250,7714.5929,0.0
36.1736,250,7726.2083,0.0
38.5401,250,7737.8734,1.0
37.3795,250,7749.5364,1.0
35.9152,250,7761.4708,1.0
36.0326,250,7771.8729,0.0
35.3852,250,7783.5568,0.0
33.8516,250,7794.8819,0.0
35.0146,250,7806.2772,0.0
39.488,250,7817.676,2.0
36.4138,250,7829.139,1.0
34.6089,250,7840.6472,0.0
41.6177,250,7852.39,2.0
39.4495,250,7863.8934,1.0
40.0863,250,7875.3312,1.0
37.2325,250,7886.7856,1.0
38.8304,250,7898.2644,1.0
37.6255,250,7909.7763,1.0
37.895,250,7921.3158,1.0
37.8523,250,7932.7456,1.0
37.5584,250,7944.1455,1.0
37.3937,250,7955.6639,1.0
41.9319,250,7967.282,2.0
34.3571,250,7978.787,0.0
38.6957,250,7990.3511,0.0
37.1507,250,8001.7972,0.0
38.8653,250,8013.2161,2.0
38.9192,250,8022.2683,1.0
39.9549,250,8033.7525,2.0
37.5104,250,8045.2128,1.0
41.1755,250,8056.6,3.0
39.9411,250,8069.341,2.0
34.8445,250,8081.1708,0.0
33.532,250,8092.6591,0.0
38.2572,250,8104.363,1.0
38.092,250,8115.8099,1.0
37.3432,250,8129.3176,0.0
37.6622,250,8141.1748,0.0
39.3459,250,8152.6608,1.0
37.7025,250,8164.088,1.0
35.5519,250,8175.5666,0.0
42.8108,250,8187.1073,2.0
33.8999,250,8199.2148,0.0
34.7,250,8210.758,0.0
36.0664,250,8222.4448,0.0
37.7853,250,8233.9085,1.0
38.9272,250,8245.4108,1.0
37.3226,250,8257.2478,0.0
33.8547,250,8266.2658,0.0
37.7932,250,8277.6571,1.0
39.3829,250,8289.1256,1.0
37.699,250,8300.5555,0.0
39.6851,250,8311.9525,2.0
36.5685,250,8323.7041,0.0
43.0404,250,8335.2478,3.0
36.6858,250,8346.9526,0.0
38.8886,250,8358.266,1.0
46.5171,250,8369.6386,4.0
47.7368,250,8382.503,5.0
34.8871,250,8395.723,0.0
34.955,250,8407.423,0.0
40.9372,250,8418.7789,3.0
41.0746,250,8430.2353,2.0
37.1367,250,8441.6252,0.0
38.5435,250,8453.0876,1.0
36.6795,250,8464.5694,0.0
39.9651,250,8476.1426,1.0
36.1378,250,8487.6349,1.0
38.718,250,8499.2435,1.0
36.4817,250,8508.3066,0.0
37.9888,250,8519.641,1.0
36.5585,250,8530.9674,0.0
36.3151,250,8542.4825,0.0
41.4134,250,8554.0292,2.0
37.7967,250,8565.3396,0.0
40.1354,250,8576.7378,2.0
37.3794,250,8588.3045,0.0
36.6454,250,8599.7616,1.0
38.1144,250,8611.1947,1.0
37.312,250,8622.6397,0.0
39.8706,250,8634.0484,1.0
35.1698,250,8645.592,0.0
38.2569,250,8657.148,1.0
35.9106,250,8668.6228,0.0
39.1372,250,8680.1307,1.0
40.7278,250,8691.7811,1.0
40.2694,250,8704.7328,1.0
36.5736,250,8716.3896,0.0
39.271,250,8728.0019,1.0
37.6915,250,8739.5812,1.0
40.1551,250,8751.0694,2.0
35.2181,250,8760.183,0.0
42.3464,250,8773.2011,3.0
37.802,250,8784.4885,0.0
